hour,avg_temp_F,temp_F,month,dom,year,doy
19,57.89326597444092,54.59000000000002,3,21,2016,81
20,55.96643418590767,53.57840000000006,3,21,2016,81
21,54.306712109375034,53.15720000000003,3,21,2016,81
22,53.04611058386841,51.78200000000004,3,21,2016,81
23,51.525696246006426,49.749080000000035,3,21,2016,81
0,50.36648750000003,50.74520000000004,3,22,2016,82
1,49.59523823000003,49.97660000000002,3,22,2016,82
2,48.77655115778691,49.20800000000004,3,22,2016,82
3,48.0271915580569,48.29864000000005,3,22,2016,82
4,47.60468460850559,48.33885714285716,3,22,2016,82
5,46.8803347834646,48.26120000000001,3,22,2016,82
6,46.68511980325917,49.35200000000004,3,22,2016,82
7,47.14141536869088,50.03900000000004,3,22,2016,82
8,47.325581563971774,49.81100000000006,3,22,2016,82
9,49.10887282608699,50.86040000000006,3,22,2016,82
10,51.91760084828396,53.64680000000002,3,22,2016,82
11,54.474579374028025,56.43320000000004,3,22,2016,82
12,56.83308511115448,57.28046000000006,3,22,2016,82
13,58.272638755887,58.50680000000002,3,22,2016,82
14,59.74750207345975,58.682660000000034,3,22,2016,82
15,60.299873328718384,59.23760000000003,3,22,2016,82
16,60.288751772979424,58.79480000000002,3,22,2016,82
17,60.27012598527073,58.02080000000003,3,22,2016,82
18,59.2518929464286,57.891200000000026,3,22,2016,82
19,57.89326597444092,56.70320000000004,3,22,2016,82
20,55.96643418590767,54.76280000000005,3,22,2016,82
21,54.306712109375034,51.90944000000003,3,22,2016,82
22,53.04611058386841,52.97360000000003,3,22,2016,82
23,51.525696246006426,50.102240000000016,3,22,2016,82
0,50.36648750000003,51.148400000000024,3,23,2016,83
1,49.59523823000003,50.09900000000003,3,23,2016,83
2,48.77655115778691,49.04960000000003,3,23,2016,83
3,48.0271915580569,47.739200000000054,3,23,2016,83
4,47.60468460850559,47.879600000000025,3,23,2016,83
5,46.8803347834646,46.94720000000002,3,23,2016,83
6,46.68511980325917,47.46560000000004,3,23,2016,83
7,47.14141536869088,47.16680000000004,3,23,2016,83
8,47.325581563971774,48.07040000000004,3,23,2016,83
9,49.10887282608699,52.13120000000005,3,23,2016,83
10,51.91760084828396,53.87180000000002,3,23,2016,83
11,54.474579374028025,55.61240000000002,3,23,2016,83
12,56.83308511115448,56.912000000000056,3,23,2016,83
13,58.272638755887,58.247600000000034,3,23,2016,83
14,59.74750207345975,59.04320000000003,3,23,2016,83
15,60.299873328718384,58.206920000000046,3,23,2016,83
16,60.288751772979424,60.02960000000005,3,23,2016,83
17,60.27012598527073,60.11960000000003,3,23,2016,83
18,59.2518929464286,59.540000000000035,3,23,2016,83
19,57.89326597444092,57.567200000000035,3,23,2016,83
20,55.96643418590767,54.29948000000004,3,23,2016,83
21,54.306712109375034,52.685600000000036,3,23,2016,83
22,53.04611058386841,51.54620000000002,3,23,2016,83
23,51.525696246006426,50.40680000000005,3,23,2016,83
0,50.36648750000003,47.283800000000014,3,24,2016,84
1,49.59523823000003,47.28200000000004,3,24,2016,84
2,48.77655115778691,44.38760000000005,3,24,2016,84
